	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep1	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep2	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep3	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep1	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep2	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep3	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep1	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep2	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep3
Rab18	-0.072376566	-0.369259057	0.237441347	-0.261067911	0.127104965	0.073546061	0.001874286	0.004465437	0.259664184
Idh1	-0.261794221	-0.16655124	-0.410830968	-0.031208812	0.145612247	0.183200647	-0.76319515	3.847996907	0.062259894
Dst	0.250355272	-0.735883978	-0.206461975	NA	NA	-1.222935939	NA	NA	NA
Ubr4	0.056167306	-0.610389137	-0.135094792	NA	-0.097980462	0.335940529	1.110029093	-0.42625709	0.431462503
Srsf10	0.584096624	NA	0.133432007	NA	NA	NA	NA	NA	NA
Inpp5a	NA	NA	NA	NA	-0.385337265	NA	NA	0.873183235	NA
Itgam	NA	0.935686035	0.399772661	NA	NA	NA	NA	NA	NA
Rhog	-0.506865078	-0.377219547	-0.239923863	-0.119823866	0.075601085	0.047677975	-0.156450235	0.031254025	-0.149840672
Omp	1.134746655	NA	NA	NA	NA	NA	NA	NA	NA
Exoc8	-0.099200801	-0.220462905	0.168256923	NA	-0.281544115	0.804962187	NA	-0.254995067	-0.301870443
Svip	NA	NA	NA	NA	NA	NA	NA	NA	NA
Plekhf1	0.011638756	NA	-0.378794419	NA	NA	NA	NA	NA	NA
Rap1gds1	NA	-1.28338656	-0.268312772	NA	0.201257457	NA	NA	-1.096560608	-0.004146488
Fat1	0.004033901	-0.004754292	-0.128503271	NA	NA	NA	NA	NA	NA
Ehd2	-0.891990824	-0.257648791	-0.292881659	NA	0.039419183	0.281193775	-1.218161916	-0.746373722	0.068051643
S100a16	0.076832696	0.197991166	NA	NA	0.297015288	NA	NA	-0.634777801	-1.254117311
Elavl1	0.279887255	0.002450499	0.333538229	0.240131118	-0.067817853	0.186754085	1.986956963	3.071779828	2.683314679
Mocs3	NA	NA	-0.005203073	NA	NA	NA	NA	NA	NA
Arfgef2	0.259302621	0.016638942	-0.301568134	NA	NA	NA	NA	NA	NA
Mbnl3	NA	NA	NA	NA	NA	NA	NA	0.159370847	1.164721928
Tsc22d2	NA	NA	NA	NA	0.405012083	0.175045486	NA	0.839314663	NA
Itga7	-0.094587481	0.513288603	0.550999139	-0.010773779	-0.068074938	0.025312343	0.936213901	0.704429352	0.660928617
Kif5a	NA	-0.759062927	NA	NA	NA	NA	NA	NA	NA
Eif2s2	-0.495674532	0.471447616	0.194843512	0.3154503	0.270827916	-0.104495726	1.127171015	4.104420535	1.080180097
Csnk2a1	0.817050158	0.079292767	-0.449828253	-0.381197535	-0.418137813	-0.134097018	-0.329340919	0.078063256	0.532666057
Cd93	NA	0.9067367	0.687150294	0.295135249	0.225645121	0.187767747	NA	0.987684678	1.023255352
Thbd	NA	NA	NA	NA	NA	-0.083080105	NA	0.360308085	NA
Ube2t	0.090040415	-0.055996183	-0.226661896	-0.137504966	0.104873377	-0.14571704	-1.15849377	-0.342305123	-0.664768306
Hspa12b	-0.434402824	-0.593136842	-0.011049973	0.881116409	0.109427427	-0.007840675	2.098116325	-0.512904734	0.141563582
Gas2l3	NA	NA	NA	NA	NA	0.269990634	NA	NA	NA
Sorbs1	NA	NA	-0.48452975	NA	NA	-0.58264163	NA	NA	NA
Hlcs	-0.233905257	0.190678066	-0.041610152	NA	NA	0.051580921	NA	NA	-2.013101271
Tjp3	-0.058863633	-0.265136501	0.51470301	NA	0.356932568	0.001586092	-1.608804193	-0.663008294	-0.796435474
Ptar1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hkdc1	-0.930435305	-0.467473572	0.288299495	0.776103988	-0.053523645	0.535754381	1.775303439	1.291780348	1.661293556
Lgals8	NA	NA	NA	NA	0.150689643	NA	NA	NA	NA
Mtr	-0.310665052	-0.621310825	-0.467912494	NA	NA	NA	NA	-0.848400918	NA
Prep	-0.027233835	-0.119275298	-0.318811635	0.933799222	-0.061676565	0.284040264	-1.845909395	-1.503159322	-1.288240807
Fyn	NA	NA	NA	NA	NA	NA	NA	1.614380048	NA
Ttn	-0.158139565	-4.131604015	-4.032164439	-1.806770749	NA	NA	NA	NA	NA
Fgf14	-0.294260909	0.571628274	0.424277164	0.123931008	0.052555009	0.205642742	NA	0.959621798	1.051232872
Dync1i2	0.231309516	0.490980804	0.828306614	0.446679711	0.259664184	0.600650362	0.9655442	1.055542748	1.089023502
Igf2bp2	1.765407444	NA	0.813524689	NA	-1.100855312	0.143132156	NA	NA	NA
Copz1	NA	NA	0.2391536	-0.312437592	-0.060653046	0.742523677	NA	0.194339249	0.82984956
Dip2b	-0.81936835	NA	0.295252823	NA	NA	NA	NA	NA	NA
Mrc2	-0.001082427	0.304744658	-0.145733	NA	NA	NA	NA	NA	-0.932801868
Kif13b	-0.070239295	-0.748359671	-0.50965579	NA	NA	NA	NA	NA	-0.736749206
Eif3d	-0.667538384	-1.692594791	NA	NA	-0.085006941	0.199625236	NA	-2.414191366	0.216361735
Eif3b	0.015782997	0.088820033	0.10272531	-0.132071916	0.007051943	0.143654635	-0.222094295	0.323427718	0.659650603
Ube2z	-0.136902045	0.190172345	-0.03661466	NA	0.410123978	-0.419796616	-1.064857114	-1.521887598	-1.532532694
Tsc22d4	0.25761413	NA	0.536152393	NA	NA	NA	NA	NA	NA
Ear1	NA	2.399307836	NA	NA	NA	NA	NA	NA	NA
Psmd9	-0.068831337	-0.495837275	-0.488815366	NA	1.028710586	0.419754605	-1.264859126	-1.229957516	-1.142703701
P2rx7	-0.168641574	1.09963185	NA	NA	0.14912927	0.438931542	2.065434446	2.167036722	2.037663353
Inf2	0.075053365	0.524063676	0.189919418	NA	NA	-2.362751458	NA	NA	NA
Srp72	-0.175012247	-0.463171238	-0.110479731	NA	NA	NA	NA	-0.825747	-0.924043009
Reps2	NA	NA	NA	NA	NA	NA	NA	NA	-0.282105373
Rybp	NA	NA	NA	NA	0.695281195	NA	NA	NA	NA
Iqsec1	NA	NA	NA	NA	0.043624477	NA	NA	NA	NA
Sod3	-0.686847041	0.398678716	0.40740714	0.030547964	-0.276205559	-0.062203659	0.566181934	-0.090526409	0.048375705
Rgs7	NA	NA	NA	NA	0.16774328	0.180020521	NA	1.079087921	NA
Ablim3	0.129612738	0.668936027	0.264236151	NA	-1.980113091	-1.689427205	NA	-2.020516041	-0.446954122
Nt5c3	0.526269172	0.078746447	-0.116723282	-0.204632009	-0.158203959	-0.310325117	-0.015899225	1.709114148	NA
Ptn	-0.344904673	NA	0.12895322	0.150299708	-0.420105441	-0.351148049	1.546659906	0.794935663	1.235053032
Fndc8	0.01306915	-0.012388077	-0.46434514	NA	1.427498905	-0.325919055	-2.811877639	-2.250096793	0.200504353
Stmn3	1.365468586	0.864572463	0.856627212	NA	-0.080225172	-0.299063193	NA	-0.08196494	0.035905384
Pitpnc1	0.587940994	0.72935699	-0.391417822	NA	0.023894043	0.126576457	-0.47206891	-0.321910061	-0.920488763
Nsf	-0.291750951	0.147827668	-0.1086897	1.20614307	0.194339249	0.468843943	0.338567037	0.853676343	0.541514839
Cttn	-0.025558794	0.017779413	-0.075413596	0.111699072	0.217230716	0.182819402	-1.230905344	-0.641761295	-0.482915839
Tnnc2	1.892818428	-0.774231504	0.57269568	-0.371515673	0.227987459	-0.961030106	-0.654399243	0.124063396	0.056860943
Plcg1	0.61060558	NA	NA	NA	NA	NA	NA	NA	NA
N4bp2l1	-0.498117605	0.147567207	0.527270557	0.17951105	-0.11323917	-0.221454974	2.143230135	1.715937288	1.211074512
Tgm2	-0.482976328	0.093424959	NA	NA	NA	0.007339046	NA	1.552377071	1.021195425
Krt222	0.295487943	0.333881659	0.486044993	-0.353763597	0.363451457	-0.267704748	NA	2.994579724	2.71228762
Smarce1	NA	NA	NA	NA	1.829646635	NA	NA	NA	NA
Rpl23	-0.945609925	-0.986359089	-0.076371586	0.069014678	-0.15783373	-0.282017662	-0.011064511	0.66448284	0.337996464
Gm4950	0.123931008	0.403922105	0.149259365	-0.129071137	-0.17229477	0.033511102	-0.564008778	-0.091817328	0.043484498
Cdk5rap3	0.326077085	NA	NA	NA	NA	NA	NA	NA	NA
Dstn	-0.12536826	-0.157978591	-0.401539508	0.079702372	-0.035919332	0.134483822	-0.747535897	-0.70738314	-0.654104076
Cds2	NA	NA	NA	NA	0.109159939	NA	NA	NA	NA
1700037H04Rik	0.410341105	0.182183769	-0.394998817	NA	-0.20305345	-0.253962468	-1.794457344	-1.077558551	-1.113723005
Rpl22	NA	-0.621621555	NA	0.218099174	-0.011020897	NA	-0.484348095	-0.085833516	-0.231599684
Itpa	-0.003683571	-0.094233221	-0.353081624	0.081475982	-0.294455525	0.005184376	-1.075033617	-1.050442656	-0.86719945
Snrpn	-0.127967158	0.442970028	0.192194165	0.357720896	0.11209958	-0.058893689	0.00662118	-2.472809528	-3.290532899
Ube4b	-0.007927711	-0.253979672	1.825989096	NA	NA	NA	NA	-0.43518287	-0.646789644
Snrnp200	-0.823192155	NA	NA	NA	NA	NA	NA	NA	NA
5730455P16Rik	0.704340813	NA	0.437014622	NA	0.126840735	-0.011224438	NA	NA	0.030971642
B2m	NA	NA	NA	NA	NA	NA	NA	NA	-0.241901535
Rpl23a	-1.304825728	-0.518907763	-0.109654484	-0.348555605	-0.107523484	-0.196855642	0.731443946	0.941406841	1.09241043
Ddi1	1.111699072	NA	-0.282877459	NA	-0.292210195	0.075327251	-1.214407601	-0.541638996	0.398459827
Szrd1	NA	-0.197451066	-0.059224345	0.372283513	NA	NA	NA	NA	-0.562303515
Lrrc57	-0.493743363	0.069702167	0.141301988	0.026870865	0.011924948	0.147436959	1.047468591	1.554834396	1.951102836
Capzb	0.079196185	-0.000593737	0.069976658	-0.337739802	0.032736383	0.091077487	-0.088331425	-0.998701492	-2.804963619
Prkacb	-0.586904232	NA	-0.164221415	-0.453438864	-0.631622754	0.347212086	NA	-0.590723126	-0.192645078
Gale	0.599222563	0.465817783	-0.252689947	-0.232599444	1.078609835	0.059770581	-2.809448348	NA	-1.696003046
Mtfr1l	0.177598929	NA	NA	NA	0.437014622	0.569685512	-0.039428982	NA	NA
Dnajc24	NA	NA	NA	NA	NA	NA	NA	-0.527782597	-0.349658203
Rpa2	0.157302466	NA	0.393855477	NA	-0.509409333	-0.053059581	0.041102772	-0.292245527	0.221691514
Acadvl	NA	NA	NA	NA	0.692605738	0.39462389	NA	NA	NA
Ankrd13a	NA	NA	-0.20237271	NA	NA	NA	NA	NA	-0.655216943
Eif3i	0.188907267	0.455439015	0.423739507	-0.321134831	0.16079114	0.27046914	1.380009029	2.771991189	2.701194161
Rbbp4	NA	0.800661803	1.015140705	1.214435698	0.5290713	0.511366829	4.333495294	2.923472491	0.641823444
Sync	NA	NA	NA	NA	0.091530593	-0.450261838	NA	2.775935488	NA
Adprhl2	-0.016862277	0.022048165	-0.275314807	-0.01463073	1.344942091	0.056583528	-1.634733	-1.745115754	-1.807982631
Stxbp3	NA	NA	NA	NA	0.096936483	0.814673463	NA	NA	3.187023408
Sars	-0.348886296	-0.265379247	-0.178632644	-0.041714099	-0.031459455	0.033933911	0.218347209	0.550703696	0.729444007
Akap10	NA	NA	NA	NA	NA	NA	NA	NA	0.082838815
Tom1l2	0.113700499	0.020057652	0.080930488	-0.373458068	-0.222363568	0.138552375	-0.838073631	-0.426935764	0.095856924
Ptgfrn	-0.238970093	-0.067424752	-0.060051315	NA	NA	NA	NA	NA	-1.129292034
Rps8	-3.719053185	NA	NA	-0.019579795	-0.260946894	-0.287430631	1.040611928	-1.280124407	0.428356822
Stk39	0.352645545	-2.807730072	-0.162153614	-0.042783708	0.199876467	0.277032552	-1.838151005	-1.970469372	-0.763121694
Faf1	0.231678162	0.39835037	0.044464067	NA	NA	0.677079711	-1.580957373	-0.454110685	0.217354814
Anxa6	0.048096653	-0.000331858	-0.42084735	NA	NA	NA	-2.898726445	-2.836089128	NA
Eps15	0.37517848	0.261951979	0.114500293	NA	0.296193073	-0.371758329	NA	-0.480417839	-0.739420263
Btf3l4	0.09085343	-0.27784878	0.280718814	NA	NA	NA	NA	-1.176511489	-0.594029417
Uba2	0.001586092	-0.041402279	-0.333425176	NA	-0.071209011	-0.051115127	-0.384677877	-0.909011112	-0.953997953
Vdac1	-0.546877553	0.25592366	0.466339988	-0.21502706	0.254835883	0.262673687	1.083383588	2.766425548	2.387996614
Stam2	-0.015359614	0.285816472	0.242084171	NA	0.260266587	-0.430372811	NA	NA	NA
Kank4	-0.004768766	-0.235399064	-0.878135814	0.385707125	-0.109452137	0.337197281	NA	-0.279301266	0.068051643
Ublcp1	0.370833848	0.265916914	-0.079081731	NA	-1.07810671	-0.112895902	-0.587684547	0.188654118	-0.143324986
Rps6	-1.567596405	-0.112162829	-0.209578254	0.146003451	-0.864596469	-1.127084583	1.218409211	1.159952045	0.338795203
Gap43	1.785341299	1.366196301	1.189856179	NA	0.093019233	1.677440588	NA	0.221072783	-0.04572923
Stk10	-0.706088092	0.891419187	-0.076082601	NA	0.012783185	0.388905884	NA	0.004609253	-0.034825238
Ifit3	-0.016584969	-0.298459814	-0.377069649	NA	0.477884522	-0.550190384	NA	NA	-1.722134243
Ifit2	0.0614306	-0.172376057	NA	NA	NA	NA	NA	NA	NA
Ass1	0.179638435	-0.573445393	-0.42625709	0.3887957	-0.083003697	0.039278795	-1.64412672	-2.222969615	-1.742023884
Rtn4	0.626859618	0.034497464	0.832606509	NA	0.270588742	0.211759833	NA	0.790104741	0.343237247
L1cam	0.313245852	0.881586316	1.193519447	0.026587622	0.09369538	0.137896932	0.588804567	0.583807883	0.289952472
Mdh1	0.294900072	-0.098876307	-0.393368268	-0.269425252	0.082838815	-0.151474202	-0.812561615	1.725173999	5.835823042
Ugp2	0.25761413	-0.288557956	-0.409182437	1.0528332	1.869476634	-0.120388326	-1.453162323	-1.51593407	-0.898000385
Ppp3r2	0.134878054	0.30626224	0.244765308	-0.032182141	0.105409894	-0.218010884	-0.682719089	-0.014135299	-0.218967684
AI314180	-0.468092091	-0.453774735	-0.215512768	NA	-0.204964558	1.12465899	-0.469809371	0.374844741	0.688762244
Gm4978	-4.129380402	NA	-0.509142386	0.094371211	-1.293924816	-0.718758738	1.745624581	1.252294541	1.472019794
Cpxm2	0.067501049	-0.321910061	-0.53683794	0.21238257	0.060185765	-0.231853795	-0.989392006	-0.895153454	-1.039606913
Uap1l1	-0.122993971	-0.203900672	-0.349033294	NA	-0.50356833	0.411643176	-1.064676042	-1.999538411	-1.069603273
Anp32b	-0.288945678	-0.328543569	0.328951324	0.21673422	-0.668638733	-0.211180674	-0.240622558	-0.239327683	2.260146127
Cntfr	-0.378906976	NA	0.531069493	NA	NA	NA	NA	NA	NA
Aco1	-0.579253525	-1.050980607	-0.834621836	0.457226546	-0.082087108	0.061983516	-1.399616054	-0.953690554	-0.911532714
Mob3b	NA	NA	NA	NA	NA	NA	NA	NA	NA
Akr1b3	0.135403531	-0.147409819	-0.518329065	-0.588248371	-0.117020524	-0.177424835	-3.137330411	-4.92594402	-4.057067432
Ahcyl2	0.068739591	-0.478768309	-0.846039056	NA	0.317188278	0.244399991	-0.511772942	-0.642707	-0.637782623
Ywhaq	0.061154063	-0.137251074	-0.077802152	-0.044359856	-0.0652948	0.323543009	-1.172506126	-1.479834253	-1.745986538
Igkv1-135	-0.258183573	-0.074988026	NA	NA	NA	NA	NA	-0.69710194	NA
Igkv1-122	NA	-0.295606063	NA	NA	0.201633861	1.187324357	-0.797262586	-1.423332753	-1.427983487
Igkv12-44	NA	NA	NA	NA	0.259664184	NA	NA	-1.661227612	NA
Igkv12-46	0.309525466	NA	NA	NA	NA	NA	NA	-0.990796173	NA
Igkc	0.172359498	-0.56693373	0.196355243	NA	0.310572795	-1.905142388	NA	-0.176136533	-2.168511853
Ighg2c	0.440208075	0.230940776	0.753347806	NA	-0.388393224	NA	NA	-0.751756647	-0.987617262
Ighg2b	0.056583528	-0.146818718	0.283210618	NA	1.183835831	NA	-1.870809318	-0.505615113	-2.107616746
Ighg1	0.219958398	-0.676456991	0.51752767	-0.336628053	1.386976447	-1.396232434	-2.812080265	-2.952322025	-3.653282469
Ighg3	NA	-1.611358572	NA	NA	1.900412801	NA	NA	-0.168511853	NA
Ighm	0.217851097	0.09369538	-0.149088589	0.230817842	-0.069497297	-0.024032381	-0.268034786	0.135666197	-0.110884742
Ighv5-2	NA	NA	NA	NA	1.205580189	NA	NA	NA	NA
Ighv1-12	NA	NA	NA	NA	NA	NA	NA	-0.96592518	-1.933573215
Psme2b	-0.20974509	1.298541019	-0.211915712	0.247319935	-0.830305848	-0.934951648	-1.526618295	-1.028057375	-0.97602082
Sf3b5	NA	NA	NA	NA	NA	NA	NA	-0.273186217	-0.19817914
Sarnp	-0.292051209	0.388465097	0.788184543	0.30987466	0.158466295	0.138683428	2.241474126	1.497893341	1.580338474
Dcn	-0.506065795	-0.285301685	0.18027519	0.532466583	0.062398064	0.050606174	0.126708602	-0.2612581	-0.243523203
Map2k2	-0.082774495	0.100035721	-0.145158539	NA	0.039559557	-0.486206093	-0.629791072	-0.185228114	-0.533221506
Cirbp	-0.349345715	-0.196062126	0.463308566	NA	-0.178387736	0.067501049	0.161436266	0.722291142	0.830093032
1810043G02Rik	-0.085205888	-0.246036118	NA	NA	0.12763328	NA	NA	-0.121580687	0.233519979
Enpp1	NA	NA	NA	NA	0.234623941	-0.475856065	NA	NA	NA
Phactr2	-0.175989837	0.168513676	0.355692898	NA	-0.159138003	-0.238119046	NA	-0.206195654	-0.351332088
Kcnab2	0.861240785	0.011781859	0.593210331	0.310456462	0.591966587	0.275126274	0.951662389	-0.149072592	-0.198725436
Hnrnpr	0.008056555	-1.047875211	0.218347209	1.074847916	-0.069406466	0.560421495	0.51530876	-0.337958608	-0.280387211
Pithd1	0.171334947	-0.150288908	-0.366559489	NA	NA	NA	-4.229152352	-2.36126812	-2.880232157
Gm10282	NA	NA	NA	NA	NA	NA	NA	NA	NA
Snrnp40	0.04082231	NA	NA	0.509239782	NA	NA	NA	NA	NA
Pddc1	0.020626651	0.312897473	0.416083074	0.167614841	0.001009533	0.29818907	0.845750967	0.488926268	0.589475878
Rnh1	0.347438889	0.142870845	-0.06496275	-0.061495891	-0.156932699	-0.094264022	0.572501665	4.121844298	1.067707546
Yars	-0.14084145	1.036186803	0.437440824	0.517225293	0.233519979	-0.077984879	2.318519311	2.715739651	2.965396436
Fubp1	0.46550437	0.699729293	0.409037857	0.078473209	0.182310918	0.188147687	NA	0.437334286	0.820485343
Stx1b	0.244643546	0.689299161	0.789770977	0.175173266	-0.807502806	-0.534307574	0.673285045	1.007626092	1.000144262
Sult1a1	NA	NA	NA	NA	NA	0.71633248	NA	NA	NA
Prpsap1	-0.06730382	-0.1284875	-0.409105807	-0.1530775	0.896233092	0.009203827	-1.850272387	-2.966460707	1.221753372
Rabep2	-1.280229523	-1.696330289	-0.195401195	NA	NA	0.030265443	NA	0.98928436	0.892818428
Arhgap17	NA	NA	NA	0.720541148	-0.456246781	NA	NA	NA	NA
Prdx1	0.075053365	-0.452629144	-0.38230657	0.238664592	-0.053179325	0.05699963	-0.538534304	-0.526555948	-0.749571959
Rps15a	NA	-0.301674824	NA	NA	0.006477564	0.000865357	NA	0.46665322	NA
Usp47	0.296545508	0.432531879	-0.36745258	NA	0.477988108	NA	NA	0.228603232	-0.90976984
Capza1	0.349025513	0.631244004	0.460794977	-0.377444424	0.11209958	0.171463056	-1.889396216	1.101179409	-2.256217931
Mapt	NA	NA	NA	NA	-0.096005394	0.452911665	NA	NA	NA
Plekhb1	-0.189104518	-0.756209075	-0.56160068	-0.163898126	-0.172863877	0.2083924	-0.394505666	-0.882304957	-0.727451204
Plaa	-0.20541362	-0.0864461	-0.416115114	NA	0.057970069	0.799750462	-1.001616724	-0.436763756	-0.409124964
Dlg2	NA	NA	NA	NA	-0.272436725	0.848637962	NA	NA	NA
Sytl4	NA	NA	NA	NA	0.469885976	0.38901606	NA	NA	NA
Megf9	NA	0.467070757	NA	NA	NA	NA	NA	NA	NA
Idh2	NA	-0.466616065	NA	NA	1.291249913	0.161952159	2.655947104	3.074402677	NA
Ube3a	-0.328616037	0.061568849	0.032241931	NA	-0.152051184	0.056860943	NA	-0.632315825	-0.252157197
Tmod1	0.358621314	0.012640181	0.344942091	-0.305645735	-0.237625669	-0.126722253	1.130008304	2.322620422	1.920331416
Prmt8	-0.523255416	0.200378798	0.213378391	0.341871921	-0.444262361	0.116763971	-0.289262983	-0.062972056	-0.074592967
Myh14	-0.688566638	-0.513069432	-0.816341992	NA	NA	NA	NA	-1.148704698	-1.018614929
Tpm2	-0.9989328	NA	-2.010250611	NA	NA	NA	NA	-1.315522344	NA
Srsf1	-0.230634473	-0.370284354	0.131852846	-0.309913723	-0.172652468	-0.132435592	-1.00546372	-0.197070628	0.178619043
Phf24	0.01306915	0.8230156	0.921283979	-0.195582921	-0.399121322	0.004177761	1.617298483	1.3950628	1.336968862
Gnb4	NA	NA	NA	NA	NA	-0.143117861	NA	1.890368865	-1.793706866
Rps16	-1.065008025	-0.968407188	-0.2508176	-0.455138781	-0.173547102	-0.263732839	0.231678162	0.415326009	0.059078342
Rps19	-0.980454638	-0.193387226	0.294664856	-0.08095745	-0.122035928	0.07231164	0.026304324	0.173639164	0.233765377
Elp5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tpd52l2	NA	-0.079371317	-0.650408257	NA	0.011209361	-0.177343263	NA	NA	NA
Cbx5	NA	0.033229161	NA	0.3035762	-0.342780747	NA	NA	NA	NA
Atox1	-0.021570043	0.270110276	-0.444792457	-0.175224002	0.450591032	-0.73850529	-2.650544132	-1.16236349	-2.031857625
8-Sep	-0.363345221	0.731704603	0.652876515	0.421048212	0.679964201	-0.064630777	0.279649579	-1.529197657	-0.005956182
Aida	NA	NA	-0.125132229	0.261711329	0.682393511	0.537445175	3.19323556	4.035007994	2.80760222
Ube2v1	0.197110515	-0.149952718	-0.340915737	NA	0.605968359	-0.087212195	-1.842076708	-0.534704611	-0.55851652
Pelo	NA	NA	0.166329818	NA	0.131194352	0.145873062	NA	0.991825659	1.93119136
Snx18	-0.758599097	-0.07751288	-0.127021562	0.254352163	0.232660757	-0.300110831	0.213005039	-0.358472467	-0.308894687
Clint1	-0.137171742	0.194717463	-5.77E-05	NA	NA	NA	NA	-0.866804757	-0.861945734
Kif27	-0.234838705	-0.602503678	-0.611975824	-0.284686459	0.163498732	0.142348082	-1.066548221	-0.159073567	-0.328181283
Nln	-0.055291452	NA	0.026304324	NA	0.190045887	1.435575259	NA	NA	NA
Tomm34	-0.754382647	-0.076691057	-0.294827137	-0.21380514	0.413160776	0.358283723	-1.59270164	1.016567633	4.313245852
Tnpo1	0.242084171	-0.08210238	-0.245728179	-0.230465204	-0.068316943	0.111565545	-1.388733175	-0.651926252	-0.441693176
Fbln1	1.101381142	NA	NA	NA	NA	NA	NA	NA	NA
Vcan	0.558169655	0.062812492	-0.388714287	NA	NA	NA	NA	NA	-1.322721795
Cpne1	0.021337583	-0.38939442	-0.37935729	NA	0.109026176	-0.300608281	-1.511073732	-0.72814409	-0.739275755
Dynlrb1	0.128425389	0.915941506	0.675183626	-0.052221648	NA	-0.325123594	0.653977179	1.240802778	0.655443425
Triobp	NA	NA	NA	NA	0.095721922	-0.171969667	NA	NA	NA
Nsun2	-0.006318393	0.206893236	NA	NA	-0.095943716	-0.030265604	NA	-0.621377404	-0.621022351
Snta1	-0.32311881	-0.33309801	-0.309377299	-0.302155026	-0.880205602	-0.326606397	-0.918987675	-0.723157963	-0.743013528
Mast2	0.090040415	-0.322144515	-0.137346279	NA	NA	NA	NA	NA	NA
Wars	-0.163510274	0.043904394	-0.199984361	0.751035177	1.163498732	0.110897723	-0.501095599	-1.269720899	-0.408148274
Eml1	-1.034780901	-1.024384487	0.042224074	0.665756583	-0.195202975	-0.549535655	-1.220849563	-1.300590512	-1.335335128
Ptk2	-0.903819124	NA	NA	NA	NA	NA	NA	-0.330410784	-1.752193982
Bicd2	NA	-0.379057065	NA	NA	-0.076097809	-0.068831337	NA	NA	NA
Plcb1	-0.491206283	0.094100916	0.545968369	NA	0.431676441	0.04194383	NA	0.869160738	0.892896124
Tatdn1	-0.060096436	0.223298973	0.046700587	NA	NA	-0.017811366	-0.707288915	-1.185539812	NA
Col14a1	-0.284528301	0.941481964	0.007195501	0.677169939	0.123798608	0.053806444	2.141563582	0.968864898	0.775345584
Serpinb6b	NA	-0.062836427	-0.258649513	NA	-0.325340494	0.530270548	NA	-0.265084489	-0.464504386
Oxr1	0.337197281	0.058524312	-0.138473341	-0.356753333	0.244765308	-0.055951189	-0.102697608	2.843642218	2.923890784
Srsf5	-0.394391886	-0.879541885	0.45691126	NA	0.432424977	0.176067406	NA	-3.702505693	-1.928676658
Gphn	0.181166174	-0.455633318	0.041803688	-0.308823203	-0.097177765	0.066399229	-0.398531671	0.190298792	0.205267382
Hecw1	0.03407482	NA	-0.390642165	NA	NA	NA	NA	NA	NA
Sord	0.262072288	0.157431827	-0.452490944	-0.385111155	1.727354154	-0.232819823	-1.78418475	-2.027145626	-1.517626671
Oxct1	NA	NA	NA	NA	2.799066578	-0.267670011	NA	2.349591743	NA
Arhgap5	-1.155180519	0.211884402	-0.778481704	NA	NA	0.096531743	NA	NA	NA
Kdelr1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nrcam	0.687419077	1.192446694	0.110363243	0.112366523	NA	0.168000125	1.005831115	0.689478088	1.316956668
Dld	0.225891862	0.509239782	0.710525442	1.726961969	-0.385261891	0.28853575	2.212756083	1.452120959	1.61060558
Adap2	-1.945860024	0.226385217	0.197488002	0.733788169	-0.120545159	-0.34005718	2.227679474	1.714443359	1.13211616
Tpt1	0.432745659	0.082838815	0.156526059	-0.002816002	-0.022507581	-0.027674958	-0.167539315	0.411426246	0.358396262
Ap1s1	-0.366689697	-0.120654953	-0.273325701	0.379177329	NA	0.200002066	-0.905142388	-0.528614817	NA
AI607873	NA	0.824890024	0.886901268	NA	NA	NA	NA	NA	NA
Tagln2	0.263395035	0.203263813	-0.148992607	0.065572312	-0.092970912	0.017779413	-0.628496895	-0.220109961	-0.53403598
Nit1	0.13553487	-0.247508291	-0.455969701	NA	NA	-0.022419661	-0.798893132	-2.204632009	-1.802134609
Pcp4l1	-0.063137842	0.100843124	0.095046725	NA	-0.613211122	-2.269651329	NA	5.025338923	-0.945526568
Ablim1	0.409472404	0.474981088	0.284869433	NA	0.050327554	0.199499604	-0.269825259	0.179638435	-0.087580065
Tnks1bp1	0.014926544	0.01720929	0.049351959	NA	NA	NA	NA	-0.886646216	-0.312491339
Hnrnpc	0.104202449	-0.494088751	0.579952469	0.368041931	0.068739591	0.008773707	-0.359934417	-0.666530467	-0.846557815
Ndrg2	0.90519684	-0.276991974	0.046979908	0.03083043	-0.066185674	-0.274372257	-1.174816808	-0.188644061	0.222062625
Tnr	NA	NA	NA	NA	NA	NA	NA	0.717999879	NA
Clasp2	-0.569522024	-0.471208668	0.373620373	NA	-0.380220786	0.057138304	NA	-0.152259595	0.129480859
Gm4788	0.464877338	0.874757628	1.16407827	0.260387037	0.252657864	0.268793675	NA	2.807086968	NA
Camp	1.811347718	1.24263299	0.175939705	-0.309609725	0.725086725	-0.263767481	-0.228908862	-0.247011693	-0.899910438
Cabp1	NA	NA	NA	-0.207311202	-0.54793177	0.067363367	NA	3.18239038	1.854873369
